"","name","category_list","market","funding_total_usd","status","state_code","region","city","funding_rounds","founded_at","founded_month","founded_quarter","founded_year","seed","venture","equity_crowdfunding","undisclosed","convertible_note","debt_financing","angel","grant","private_equity","post_ipo_equity","post_ipo_debt","secondary_market","product_crowdfunding","round_A","round_B","round_C","round_D","round_E","round_F","round_G","round_H","first_funding_day","first_funding_month","first_funding_year","last_funding_day","last_funding_month","last_funding_year","post_success"
"22581","Simplilearn","|Tutoring|Certification Test|Project Management|Education|","Certification Test",1.3e+07,"operating","TX","Houston","Houston",2,"1","9","Q3","2009",0,1.3e+07,0,0,0,0,0,0,0,0,0,0,0,3e+06,1e+07,0,0,0,0,0,0,"5","4","2012","17","9","2013","0"
"22584","SimpliVity","|Storage|Virtualization|Web Hosting|","Storage",101500000,"operating","MA","Worcester","Westborough",4,"1","1","Q1","2009",0,1.01e+08,0,0,0,5e+05,0,0,0,0,0,0,0,1.8e+07,2.5e+07,5.8e+07,0,0,0,0,0,"1","1","2012","18","11","2013","0"
"22586","Simply Easier Payments","|Software|","Software",1150001,"operating","NC","Raleigh","Durham",2,"1","1","Q1","2006",0,1150001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10","11","2009","20","8","2010","0"
"22587","Simply Hired","|Search|","Search",34300000,"operating","CA","SF Bay Area","Sunnyvale",5,"1","5","Q2","2004",0,34300000,0,0,0,0,0,0,0,0,0,0,0,1200000,3e+06,13500000,4600000,1.2e+07,0,0,0,"1","10","2004","1","5","2014","0"
"22589","Simply Measured","|B2B|SaaS|Social Media|Analytics|","Analytics",2.9e+07,"operating","WA","Seattle","Seattle",4,"1","1","Q1","2010",250000,2.8e+07,0,0,0,0,750000,0,0,0,0,0,0,0,8e+06,2e+07,0,0,0,0,0,"1","1","2010","18","3","2014","0"
"22592","SimplyInsured","|Health Care|Insurance|Health and Insurance|E-Commerce|","Health Care",750000,"operating","CA","SF Bay Area","San Francisco",1,"1","1","Q1","2012",750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","10","2013","2","10","2013","0"
"22593","SimplyTapp","|Mobile Infrastructure|Banking|Coupons|QR Codes|Point of Sale|Payments|NFC|Mobile Payments|Mobile|","Mobile Infrastructure",7620600,"operating","TX","Austin","Austin",3,"1","1","Q1","2011",2e+05,7420600,0,0,0,0,0,0,0,0,0,0,0,1420600,6e+06,0,0,0,0,0,0,"1","2","2013","12","11","2014","0"
"22594","Simpolfy","|Politics|","Politics",17000,"operating","WA","Seattle","Seattle",1,"1","1","Q1","2014",17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","9","2014","1","9","2014","0"
"22595","Simraceway","|Games|","Games",14025500,"operating","CA","SF Bay Area","San Francisco",4,"1","3","Q1","2008",0,12500000,0,1525500,0,0,0,0,0,0,0,0,0,0,7500000,5e+06,0,0,0,0,0,"16","2","2011","7","2","2012","0"
"22596","SIMTEK","|Semiconductors|","Semiconductors",14920000,"acquired","CO","Colorado Springs","Colorado Springs",2,"1","1","Q1","1986",0,14920000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30","12","2005","22","9","2006","1"
